iter	RMSE
0	0.9915065617
1	0.9830760662
2	0.9747632193
3	0.9665407419
4	0.9583650719
5	0.9503371462
6	0.9423679244
7	0.9345176518
8	0.9267062725
9	0.91901338
10	0.9114434255
11	0.9039441222
12	0.8965180106
13	0.8891118902
14	0.8818409522
15	0.8746201313
16	0.867483678
17	0.860401439
18	0.8534214593
19	0.8464762668
20	0.8396887295
21	0.8328994983
22	0.826219538
23	0.8196473384
24	0.8131488723
25	0.8066893867
26	0.8003257634
27	0.7940082922
28	0.787777536
29	0.7816331368
30	0.7755660276
31	0.7695459722
32	0.7636383899
33	0.7577257897
34	0.7519520204
35	0.7462307891
36	0.740522791
37	0.7349289545
38	0.7293322643
39	0.7238386765
40	0.7183923328
41	0.7130268657
42	0.7077318452
43	0.7025433218
44	0.6973817854
45	0.6922667243
46	0.6872527073
47	0.6823143438
48	0.6774268304
49	0.6725665761
50	0.6677960572
51	0.6630414346
52	0.6583231326
53	0.6536845926
54	0.649062744
55	0.6445516435
56	0.6400370069
57	0.6357049125
58	0.6313702874
59	0.6270861796
60	0.6228449107
61	0.6186201587
62	0.6144629895
63	0.6103727428
64	0.6063164517
65	0.6023674555
66	0.598402705
67	0.5944982666
68	0.5906475515
69	0.5868317321
70	0.5830842495
71	0.5793578224
72	0.5757303946
73	0.5720876556
74	0.5684863344
75	0.5649565232
76	0.5614869971
77	0.5580381341
78	0.5546446695
79	0.5512667734
80	0.5479468997
81	0.544735138
82	0.5415406562
83	0.5383495432
84	0.535244076
85	0.5321854311
86	0.5291396134
87	0.5261459305
88	0.5231773674
89	0.520232519
90	0.5173719974
91	0.5145193386
92	0.511700275
93	0.5089303258
94	0.5061962287
95	0.503517097
96	0.5008681265
97	0.4982402135
98	0.4956721332
99	0.4931259747
100	0.4906011764
101	0.4881124528
102	0.4856774394
103	0.4832958092
104	0.4809368616
105	0.478650283
106	0.4763762201
107	0.4741043951
108	0.4718658672
109	0.4696779579
110	0.4675225309
111	0.465418755
112	0.4633052569
113	0.4612161474
114	0.4591392478
115	0.4571299938
116	0.4551073047
117	0.4531294564
118	0.4511752042
119	0.4492290692
120	0.4473365019
121	0.4454613224
122	0.4436626621
123	0.4418604465
124	0.4400896454
125	0.4383346277
126	0.4365953402
127	0.4348983232
128	0.4331974343
129	0.4315500045
130	0.4299014427
131	0.4282645869
132	0.4267017748
133	0.4251531903
134	0.4235965539
135	0.4220604325
136	0.4205779935
137	0.4191094905
138	0.4176923517
139	0.4162701318
140	0.4148818834
141	0.4135144738
142	0.4121759572
143	0.4108295315
144	0.4094948479
145	0.4082276574
146	0.4069357971
147	0.4056781229
148	0.4044224365
149	0.4031760248
150	0.4019737792
151	0.4007953508
152	0.399648455
153	0.3984892493
154	0.397359934
155	0.396250753
156	0.3951390118
157	0.3940695754
158	0.3930190103
159	0.3919648865
160	0.3909519474
161	0.3899706873
162	0.3889401398
163	0.3879509059
164	0.3869975177
165	0.386071529
166	0.3851787076
167	0.3842372043
168	0.383319561
169	0.3824618546
170	0.3815809512
171	0.3807106632
172	0.3798720356
173	0.3790444659
174	0.3782127396
175	0.3773923605
176	0.3765931856
177	0.3758080101
178	0.3750485287
179	0.3742813923
180	0.3735286188
181	0.3727757438
182	0.372055194
183	0.3713221475
184	0.3706127758
185	0.3699381102
186	0.3692466339
187	0.3685637657
188	0.3679129917
189	0.3672890923
190	0.3666463662
191	0.3660029398
192	0.3653689892
193	0.3647589983
194	0.3641457348
195	0.3635463713
196	0.3629599894
197	0.3623734528
198	0.3618049815
199	0.3612425884
200	0.3607121784
201	0.3601850098
202	0.3596597209
203	0.3591552777
204	0.3586456395
205	0.358143916
206	0.3576574771
207	0.3571700228
208	0.3567049393
209	0.3562456044
210	0.3557956296
211	0.3553304183
212	0.3548836517
213	0.3544367148
214	0.3540006395
215	0.3535667185
216	0.3531363879
217	0.3527194271
218	0.3523008111
219	0.3519172374
220	0.3515227633
221	0.3511255631
222	0.3507722365
223	0.3504244996
224	0.3500485507
225	0.3496982328
226	0.3493592274
227	0.3490174098
228	0.3486695329
229	0.3483227273
230	0.347982009
231	0.3476230966
232	0.3472897747
233	0.3469715994
234	0.3466448051
235	0.3463108439
236	0.3460107753
237	0.345698725
238	0.3454003095
239	0.3451066678
240	0.3448318122
241	0.3445648168
242	0.3442815272
243	0.3439713221
244	0.3436643403
245	0.3433933524
246	0.343142518
247	0.342754862
248	0.3424860982
249	0.3422486993
250	0.342012039
251	0.3417656625
252	0.3415350299
253	0.3412889572
254	0.3410750472
255	0.3408676917
256	0.3406580733
257	0.3404262876
258	0.3401878803
259	0.3399849301
260	0.3397811773
261	0.3395781113
262	0.339358938
263	0.3391194445
264	0.3389096665
265	0.3387306261
266	0.3385551485
267	0.3383773385
268	0.3381689192
269	0.3379811262
270	0.3378018266
271	0.3376426768
272	0.3374703205
273	0.3373083349
274	0.3371458822
275	0.3369423185
276	0.3367762909
277	0.3365489068
278	0.3363889203
279	0.3362220177
280	0.3360436083
281	0.3358479203
282	0.3357101593
283	0.3355687459
284	0.3354378875
285	0.3352813768
286	0.335100481
287	0.3348217548
288	0.3346442552
289	0.3345175504
290	0.3343834233
291	0.334267665
292	0.3341458316
293	0.3340293086
294	0.333881952
295	0.333767623
296	0.3336192211
297	0.3335093051
298	0.3333743922
299	0.3332375213
300	0.3331263429
301	0.3330258417
302	0.3329142166
303	0.3328057784
304	0.3326797675
305	0.3324202445
306	0.3323273415
307	0.3321836705
308	0.3320922405
309	0.3319446693
310	0.3318549242
311	0.3317573462
312	0.3316462838
313	0.3315013888
314	0.3313738754
315	0.3312628832
316	0.3311565628
317	0.3310596171
318	0.3309439083
319	0.3308501768
320	0.3306025984
321	0.3305211238
322	0.3302945464
323	0.3302013539
324	0.3299966245
325	0.3298804455
326	0.3297659674
327	0.3296844239
328	0.3295752792
329	0.3295039964
330	0.3292835996
331	0.329138665
332	0.3289087121
333	0.3288377881
334	0.3287768325
335	0.3286243398
336	0.3285148257
337	0.3284306216
338	0.3283542208
339	0.3283003694
340	0.3281926393
341	0.3281164348
342	0.3280483796
343	0.3278257689
344	0.327768436
345	0.3276964449
346	0.3276341207
347	0.3275243622
348	0.3273928891
349	0.3272934596
350	0.3272373793
351	0.3270491762
352	0.3269791763
353	0.3267641088
354	0.3266745015
355	0.3266083244
356	0.3265490325
357	0.3264853353
358	0.3263981877
359	0.3262725865
360	0.3260578598
361	0.3260145655
362	0.3259387857
363	0.3256166706
364	0.3255478796
365	0.3255024069
366	0.3253537211
367	0.3252830953
368	0.3252175673
369	0.3250701826
370	0.3250066303
371	0.3249243377
372	0.3248275195
373	0.3247234635
374	0.3245759125
375	0.3245175684
376	0.3243516523
377	0.3242375416
378	0.3238613648
379	0.3236604213
380	0.323473196
381	0.3233822992
382	0.3233132433
383	0.3232655779
384	0.3232206038
385	0.3231491458
386	0.3230918177
387	0.3229999476
388	0.3229083826
389	0.3227697094
390	0.3225750944
391	0.322498929
392	0.3224657665
393	0.3222727622
394	0.3220784012
395	0.321885965
396	0.321841783
397	0.3217514767
398	0.3216808133
399	0.3216257403
400	0.3215898199
401	0.3213975263
402	0.3213571353
403	0.3212350254
404	0.3212032894
405	0.3211588868
406	0.3211190037
407	0.3210901943
408	0.3210409282
409	0.3206668002
410	0.3206071076
411	0.3205311365
412	0.3204916626
413	0.3203417675
414	0.3203038688
415	0.3202503117
416	0.3200648298
417	0.3200368191
418	0.3198538519
419	0.3196704654
420	0.319623376
421	0.3195735972
422	0.3194875341
423	0.3194259635
424	0.3193923453
425	0.3193167042
426	0.3192377107
427	0.3190883115
428	0.3189074594
429	0.3187265953
430	0.3186912748
431	0.3185990206
432	0.3185790131
433	0.3185412212
434	0.3183761374
435	0.3183034917
436	0.3181720819
437	0.3181319568
438	0.3179559854
439	0.3179286972
440	0.3178873864
441	0.3177083237
442	0.3175660977
443	0.3173929573
444	0.3172478828
445	0.3171547969
446	0.3167787937
447	0.3164033421
448	0.3163813356
449	0.3160117827
450	0.3158392293
451	0.3158099833
452	0.3156354502
453	0.3154895027
454	0.3154649589
455	0.3152960519
456	0.3152058061
457	0.3150690744
458	0.3150346012
459	0.3149963521
460	0.3148277597
461	0.3147762843
462	0.3146970861
463	0.3146700498
464	0.3145030357
465	0.3144736937
466	0.3143895522
467	0.314221121
468	0.3140568468
469	0.3139535257
470	0.3138252935
471	0.313659304
472	0.3135939062
473	0.313458769
474	0.3132952155
475	0.3132544827
476	0.3132375655
477	0.3130877895
478	0.313060983
479	0.3128964091
480	0.3127375101
481	0.3126037295
482	0.3124438489
483	0.3124041053
484	0.3122442441
485	0.3122040551
486	0.3121756124
487	0.3120161583
488	0.3119424461
489	0.3119217275
490	0.3118816522
491	0.3118486764
492	0.311478372
493	0.3114413061
494	0.3114036328
495	0.3112447423
496	0.3111349626
497	0.3109767508
498	0.3108204819
499	0.3107516643
