iter	Passed	Remaining
0	78	39228
1	147	36668
2	215	35653
3	288	35778
4	358	35459
5	426	35133
6	496	34961
7	585	36034
8	657	35848
9	728	35706
10	797	35468
11	863	35116
12	930	34871
13	1009	35041
14	1076	34797
15	1145	34666
16	1215	34533
17	1282	34346
18	1351	34222
19	1420	34084
20	1489	33966
21	1561	33929
22	1648	34187
23	1717	34060
24	1787	33959
25	1854	33801
26	1922	33682
27	1999	33699
28	2066	33564
29	2133	33427
30	2207	33400
31	2276	33293
32	2342	33145
33	2411	33051
34	2485	33018
35	2550	32879
36	2641	33053
37	2709	32937
38	2775	32803
39	2844	32716
40	2913	32618
41	2987	32579
42	3055	32476
43	3124	32380
44	3193	32285
45	3259	32173
46	3327	32070
47	3393	31957
48	3463	31879
49	3531	31786
50	3600	31698
51	3692	31808
52	3759	31703
53	3855	31846
54	4104	33209
55	4289	34008
56	4442	34524
57	4590	34986
58	4766	35628
59	4930	36157
60	5087	36616
61	5254	37121
62	5418	37588
63	5558	37866
64	5713	38235
65	5904	38826
66	6082	39309
67	6306	40061
68	6488	40528
69	6698	41149
70	6884	41595
71	7082	42103
72	7242	42364
73	7394	42569
74	7533	42691
75	7679	42841
76	7831	43023
77	7978	43165
78	8113	43236
79	8295	43553
80	8453	43730
81	8655	44121
82	8817	44298
83	8982	44483
84	9173	44790
85	9387	45190
86	9592	45538
87	9824	45996
88	9984	46108
89	10197	46456
90	10410	46788
91	10623	47112
92	10861	47531
93	11043	47698
94	11233	47890
95	11445	48166
96	11678	48521
97	11809	48444
98	11920	48285
99	11990	47962
100	12058	47638
101	12127	47321
102	12195	47005
103	12264	46698
104	12333	46396
105	12405	46110
106	12476	45824
107	12543	45527
108	12618	45263
109	12688	44985
110	12775	44771
111	12843	44493
112	12910	44215
113	12983	43962
114	13050	43689
115	13121	43438
116	13185	43161
117	13247	42886
118	13315	42631
119	13377	42361
120	13445	42114
121	13511	41862
122	13573	41604
123	13637	41352
124	13708	41125
125	13794	40946
126	13857	40700
127	13924	40469
128	13990	40236
129	14059	40016
130	14120	39774
131	14186	39549
132	14253	39332
133	14322	39120
134	14380	38881
135	14450	38676
136	14516	38463
137	14581	38249
138	14648	38044
139	14712	37832
140	14802	37689
141	14871	37491
142	14940	37298
143	15005	37096
144	15065	36884
145	15129	36684
146	15195	36490
147	15257	36287
148	15321	36093
149	15381	35890
150	15457	35726
151	15521	35536
152	15582	35340
153	15644	35149
154	15713	34974
155	15772	34779
156	15852	34633
157	15918	34456
158	15984	34280
159	16048	34103
160	16114	33930
161	16179	33757
162	16240	33576
163	16308	33412
164	16372	33241
165	16440	33078
166	16502	32905
167	16565	32736
168	16628	32568
169	16696	32410
170	16759	32245
171	16824	32084
172	16919	31980
173	16983	31820
174	17049	31662
175	17110	31498
176	17175	31341
177	17238	31184
178	17299	31022
179	17363	30869
180	17427	30714
181	17485	30552
182	17545	30393
183	17605	30236
184	17673	30093
185	17736	29942
186	17800	29794
187	17860	29640
188	17947	29532
189	18016	29394
190	18080	29250
191	18140	29100
192	18203	28955
193	18266	28811
194	18328	28668
195	18394	28531
196	18468	28406
197	18527	28259
198	18582	28107
199	18645	27968
200	18711	27834
201	18770	27691
202	18828	27547
203	18893	27413
204	18980	27312
205	19044	27179
206	19104	27041
207	19169	26910
208	19233	26779
209	19301	26654
210	19366	26524
211	19426	26391
212	19491	26263
213	19554	26134
214	19612	25997
215	19678	25874
216	19742	25747
217	19803	25616
218	19869	25494
219	19936	25373
220	20022	25277
221	20084	25151
222	20152	25032
223	20220	24914
224	20281	24788
225	20344	24665
226	20409	24545
227	20472	24423
228	20540	24307
229	20598	24181
230	20655	24053
231	20721	23937
232	20802	23837
233	20860	23712
234	20918	23588
235	20982	23471
236	21066	23377
237	21125	23255
238	21193	23144
239	21252	23023
240	21319	22912
241	21382	22796
242	21442	22678
243	21501	22559
244	21594	22476
245	21711	22417
246	21837	22367
247	21958	22313
248	22099	22277
249	22224	22224
250	22349	22171
251	22474	22117
252	22600	22064
253	22724	22008
254	22855	21958
255	22981	21903
256	23096	21838
257	23209	21769
258	23323	21702
259	23441	21638
260	23565	21579
261	23682	21512
262	23791	21439
263	23910	21374
264	24029	21309
265	24154	21248
266	24272	21181
267	24395	21118
268	24519	21055
269	24651	20999
270	24771	20932
271	24890	20863
272	25018	20803
273	25123	20722
274	25235	20647
275	25359	20581
276	25489	20520
277	25600	20443
278	25721	20374
279	25841	20304
280	25960	20232
281	26071	20154
282	26198	20088
283	26317	20016
284	26441	19947
285	26533	19853
286	26646	19775
287	26740	19683
288	26806	19571
289	26869	19456
290	26933	19344
291	26999	19232
292	27060	19117
293	27125	19006
294	27191	18895
295	27254	18783
296	27315	18669
297	27378	18558
298	27437	18444
299	27520	18346
300	27577	18231
301	27639	18121
302	27697	18008
303	27760	17898
304	27821	17787
305	27884	17678
306	27942	17566
307	28008	17459
308	28070	17351
309	28129	17240
310	28187	17129
311	28246	17020
312	28318	16918
