iter	RMSE
0	0.9916069004
1	0.9834785448
2	0.9754489586
3	0.9674442053
4	0.9595239947
5	0.9517309777
6	0.9439688662
7	0.9363338534
8	0.9286895463
9	0.9212716986
10	0.9138808492
11	0.906609772
12	0.8994135922
13	0.8922413959
14	0.8851660651
15	0.8780572168
16	0.8711512548
17	0.8642442574
18	0.8574885724
19	0.8507475914
20	0.8440997718
21	0.8375193622
22	0.8311140684
23	0.8246233029
24	0.8182376235
25	0.8119236803
26	0.8057609949
27	0.7995949951
28	0.7934736642
29	0.7874421676
30	0.7814821812
31	0.7755416225
32	0.7697483495
33	0.7640200752
34	0.7582737518
35	0.7525894337
36	0.7469510281
37	0.7413650062
38	0.735815723
39	0.7303500979
40	0.7249628812
41	0.7196208682
42	0.7143161198
43	0.7091158649
44	0.7039406463
45	0.6988509595
46	0.6938277374
47	0.6889088564
48	0.6839664315
49	0.6791126479
50	0.6743726
51	0.669615847
52	0.6648559824
53	0.6601762485
54	0.6555277705
55	0.6509531645
56	0.6464547895
57	0.6419465763
58	0.6375928869
59	0.6332863188
60	0.6289709498
61	0.6247090756
62	0.6204661071
63	0.6162711194
64	0.6121275657
65	0.6080862352
66	0.6041206676
67	0.6001571731
68	0.5962019947
69	0.5923114193
70	0.5885453325
71	0.5848763632
72	0.5810645177
73	0.5774127493
74	0.5737340889
75	0.5700703165
76	0.5664792302
77	0.5629566232
78	0.5594953302
79	0.5560750272
80	0.5527575038
81	0.5494049093
82	0.5460634162
83	0.5427711958
84	0.539514573
85	0.5362653556
86	0.5331926315
87	0.5301561871
88	0.5270387039
89	0.5239817043
90	0.5210196463
91	0.5180270685
92	0.5151257495
93	0.5122382285
94	0.5094490482
95	0.5066113385
96	0.5038839676
97	0.5011199986
98	0.4983670734
99	0.4956927033
100	0.493011138
101	0.4904217536
102	0.4878896384
103	0.4853432989
104	0.4828250244
105	0.4803756233
106	0.4778807467
107	0.4754589763
108	0.4730439533
109	0.4706708461
110	0.4683505431
111	0.4660167249
112	0.463757493
113	0.4615180398
114	0.459308925
115	0.4570826499
116	0.4549095573
117	0.4527411575
118	0.4506368316
119	0.4485972806
120	0.4465208064
121	0.4444964905
122	0.4424801181
123	0.4404867816
124	0.4385327917
125	0.4366143224
126	0.4347453295
127	0.4328466371
128	0.4310053108
129	0.4292261575
130	0.4274373318
131	0.4256536126
132	0.4238709375
133	0.422117179
134	0.4203936707
135	0.4187131292
136	0.4170733914
137	0.4154469449
138	0.4138529025
139	0.4122322202
140	0.4106744628
141	0.4091242595
142	0.40758263
143	0.4060675997
144	0.4046009383
145	0.4031516271
146	0.4016568499
147	0.4002134051
148	0.3988405033
149	0.3974307097
150	0.3960737616
151	0.3947034684
152	0.3933630616
153	0.3920369624
154	0.3907729172
155	0.3894713922
156	0.3882046408
157	0.3869912832
158	0.3857558652
159	0.3845390451
160	0.3833572455
161	0.3821503468
162	0.3809973683
163	0.3798492078
164	0.3787253834
165	0.3775885214
166	0.3765069868
167	0.3754021885
168	0.3743551273
169	0.3732796007
170	0.3722190962
171	0.3712123281
172	0.3701980209
173	0.369213594
174	0.3682145677
175	0.367231242
176	0.3662524697
177	0.3653436747
178	0.3644289898
179	0.363499073
180	0.3625912055
181	0.3617063917
182	0.3608324073
183	0.3599586674
184	0.3591255765
185	0.3582927455
186	0.3574620317
187	0.3566497961
188	0.3558694537
189	0.3550639545
190	0.3543259073
191	0.3535466987
192	0.3527747848
193	0.3520231481
194	0.3512824074
195	0.3505537513
196	0.3498424256
197	0.3491018479
198	0.3483851211
199	0.3476960918
200	0.3470352957
201	0.3463495846
202	0.3456767095
203	0.3450329978
204	0.3443881521
205	0.3437799296
206	0.343167427
207	0.3425300193
208	0.341929783
209	0.3413349222
210	0.3407277814
211	0.3401614394
212	0.3395702983
213	0.3390109773
214	0.3384433926
215	0.3379090077
216	0.3373431943
217	0.3368352146
218	0.3363410947
219	0.3358385272
220	0.3353270268
221	0.3347980696
222	0.3342966806
223	0.3338244103
224	0.3333360902
225	0.3328562987
226	0.3324156793
227	0.3319595707
228	0.3314907017
229	0.3310497068
230	0.3306029171
231	0.3301763272
232	0.3297531521
233	0.3292972142
234	0.3288925769
235	0.3284962942
236	0.3280831937
237	0.3276888828
238	0.3272994005
239	0.3268925285
240	0.32651337
241	0.3261042753
242	0.3256963152
243	0.3253336041
244	0.3249772142
245	0.3246295734
246	0.3242876186
247	0.3239037061
248	0.3235597376
249	0.3232333423
250	0.3228695448
251	0.3225455809
252	0.3222153381
253	0.321855232
254	0.3215362455
255	0.3212230467
256	0.3208728908
257	0.3205652263
258	0.32027018
259	0.3199517946
260	0.3196587725
261	0.3193730966
262	0.319097733
263	0.3188185902
264	0.3185490697
265	0.3182430138
266	0.3179483628
267	0.3176558845
268	0.3173993781
269	0.3171377941
270	0.3168481321
271	0.3166032156
272	0.3163621999
273	0.3160858613
274	0.3158451338
275	0.3155649215
276	0.3153391233
277	0.3151090901
278	0.3148733507
279	0.3146394639
280	0.314382285
281	0.3141688083
282	0.3139191196
283	0.313705085
284	0.3134959495
285	0.3132839249
286	0.313081782
287	0.3128572006
288	0.3126545344
289	0.312420819
290	0.3122027495
291	0.3119670245
292	0.3117810296
293	0.3115898765
294	0.3113980818
295	0.3111718136
296	0.3109339095
297	0.3107354986
298	0.3105190089
299	0.3103488841
300	0.3101396993
301	0.3099697199
302	0.3097973412
303	0.3096313365
304	0.3094648494
305	0.3092768366
306	0.3090556009
307	0.3088626868
308	0.3086716644
309	0.3085190839
310	0.3083692318
311	0.3082258381
312	0.3080552492
313	0.3079137845
