iter	Passed	Remaining
0	62	31235
1	104	26008
2	147	24507
3	200	24811
4	241	23947
5	279	23009
6	320	22600
7	367	22577
8	412	22481
9	462	22682
10	514	22880
11	554	22534
12	591	22153
13	638	22157
14	690	22328
15	726	21973
16	760	21600
17	795	21297
18	825	20906
19	857	20571
20	885	20197
21	919	19982
22	952	19753
23	986	19561
24	1020	19383
25	1068	19480
26	1096	19213
27	1126	18993
28	1157	18802
29	1186	18592
30	1220	18467
31	1251	18305
32	1283	18162
33	1311	17978
34	1348	17915
35	1383	17834
36	1418	17752
37	1449	17617
38	1480	17498
39	1510	17373
40	1542	17267
41	1573	17162
42	1605	17066
43	1635	16947
44	1663	16823
45	1698	16761
46	1730	16680
47	1764	16613
48	1800	16572
49	1835	16520
50	1869	16454
51	1904	16411
52	1941	16371
53	1975	16314
54	2016	16316
55	2067	16392
56	2096	16295
57	2151	16398
58	2200	16448
59	2232	16374
60	2265	16306
61	2310	16320
62	2341	16240
63	2367	16126
64	2397	16042
65	2423	15936
66	2459	15895
67	2503	15904
68	2541	15877
69	2573	15808
70	2611	15779
71	2646	15730
72	2699	15791
73	2745	15806
74	2785	15786
75	2825	15763
76	2862	15725
77	2894	15660
78	2930	15618
79	2962	15552
80	2994	15488
81	3026	15428
82	3061	15379
83	3096	15336
84	3131	15288
85	3162	15223
86	3194	15165
87	3228	15113
88	3263	15070
89	3300	15034
90	3332	14978
91	3366	14930
92	3401	14884
93	3430	14815
94	3457	14741
95	3489	14684
96	3520	14627
97	3554	14580
98	3590	14542
99	3651	14605
100	3686	14563
101	3725	14535
102	3760	14494
103	3801	14476
104	3836	14432
105	3867	14376
106	3898	14317
107	3926	14252
108	3956	14194
109	3991	14151
110	4021	14094
111	4050	14033
112	4081	13977
113	4112	13924
114	4142	13869
115	4173	13815
116	4214	13794
117	4249	13756
118	4291	13741
119	4332	13720
120	4355	13643
121	4386	13591
122	4420	13550
123	4464	13536
124	4504	13512
125	4539	13474
126	4581	13455
127	4622	13433
128	4656	13390
129	4685	13335
130	4712	13275
131	4735	13201
132	4774	13175
133	4818	13161
134	4862	13147
135	4910	13144
136	4951	13120
137	5001	13119
138	5046	13106
139	5087	13081
140	5123	13044
141	5154	12996
142	5189	12955
143	5217	12898
144	5247	12847
145	5275	12792
146	5311	12755
147	5345	12712
148	5383	12682
149	5426	12662
150	5459	12618
151	5516	12629
152	5566	12625
153	5606	12595
154	5639	12552
155	5665	12493
156	5690	12432
157	5726	12394
158	5764	12362
159	5805	12336
160	5845	12309
161	5903	12316
162	5957	12317
163	5976	12243
164	5995	12172
165	6013	12098
166	6031	12025
167	6048	11953
168	6065	11880
169	6083	11808
170	6101	11738
171	6118	11667
172	6135	11598
173	6156	11535
174	6175	11467
175	6193	11401
176	6210	11332
177	6228	11267
178	6246	11201
179	6263	11135
180	6281	11070
181	6302	11011
182	6320	10948
183	6338	10885
184	6356	10823
185	6373	10760
186	6395	10705
187	6413	10643
188	6431	10582
189	6448	10521
190	6466	10461
191	6485	10403
192	6502	10343
193	6520	10285
194	6538	10226
195	6556	10168
196	6573	10110
197	6589	10051
198	6607	9993
199	6624	9936
200	6641	9880
201	6659	9824
202	6677	9769
203	6695	9714
204	6712	9658
205	6728	9603
206	6746	9549
207	6763	9495
208	6780	9441
209	6802	9393
210	6824	9346
211	6872	9336
212	6900	9297
213	6929	9261
214	6953	9218
215	6974	9169
216	6993	9120
217	7010	9068
218	7027	9016
219	7043	8964
220	7061	8914
221	7077	8862
222	7095	8813
223	7114	8766
224	7133	8718
225	7149	8668
226	7167	8619
227	7184	8570
228	7201	8522
229	7219	8474
230	7236	8426
231	7252	8378
232	7271	8332
233	7288	8285
234	7305	8238
235	7322	8191
236	7339	8144
237	7355	8097
238	7372	8051
239	7391	8007
240	7409	7962
241	7425	7916
242	7441	7870
243	7459	7826
244	7477	7782
245	7495	7739
246	7512	7694
247	7528	7650
248	7547	7608
249	7564	7564
250	7580	7520
251	7598	7477
252	7615	7435
253	7632	7391
254	7648	7348
255	7666	7307
256	7683	7265
257	7700	7223
258	7717	7181
259	7735	7140
260	7751	7097
261	7769	7057
262	7785	7015
263	7802	6974
264	7818	6933
265	7834	6892
266	7851	6851
267	7869	6812
268	7885	6771
269	7901	6731
270	7917	6690
271	7934	6651
272	7951	6611
273	7970	6573
274	7986	6534
275	8002	6495
276	8019	6456
277	8035	6417
278	8052	6378
279	8068	6339
280	8084	6300
281	8101	6262
282	8119	6226
283	8135	6187
284	8151	6149
285	8167	6111
286	8184	6073
287	8200	6036
288	8217	5999
289	8233	5962
290	8250	5925
291	8267	5889
292	8283	5852
293	8300	5815
294	8316	5779
295	8332	5742
296	8349	5706
297	8364	5670
298	8380	5633
299	8397	5598
300	8417	5564
301	8434	5529
302	8450	5494
303	8467	5459
304	8483	5423
305	8500	5388
306	8517	5354
307	8537	5322
308	8554	5288
309	8572	5253
310	8589	5220
311	8606	5185
312	8625	5153
313	8641	5118
314	8657	5084
315	8673	5050
316	8690	5016
317	8709	4984
318	8725	4950
319	8743	4918
320	8760	4885
321	8776	4851
322	8795	4820
323	8812	4786
324	8831	4755
325	8848	4722
326	8864	4689
327	8880	4657
328	8896	4624
329	8912	4591
330	8928	4558
331	8947	4527
332	8964	4495
333	8980	4463
334	8996	4431
335	9012	4398
336	9028	4367
337	9045	4335
338	9061	4303
339	9077	4271
340	9093	4239
341	9109	4208
342	9124	4176
343	9142	4145
344	9159	4115
345	9175	4084
346	9193	4053
347	9209	4022
348	9227	3992
349	9244	3961
350	9262	3931
351	9279	3901
352	9296	3871
353	9314	3841
354	9333	3812
355	9349	3781
356	9366	3751
357	9383	3722
358	9404	3693
359	9422	3664
360	9442	3635
361	9458	3605
362	9475	3575
363	9492	3546
364	9508	3517
365	9526	3487
366	9542	3458
367	9561	3429
368	9585	3403
369	9603	3374
370	9620	3344
371	9636	3315
372	9653	3286
373	9671	3258
374	9688	3229
375	9705	3200
376	9720	3171
377	9736	3142
378	9754	3114
379	9771	3085
380	9788	3057
381	9803	3028
382	9820	3000
383	9837	2971
384	9854	2943
385	9870	2915
386	9885	2886
387	9903	2858
388	9920	2830
389	9941	2804
390	9964	2777
391	9989	2752
392	10011	2725
393	10032	2698
394	10051	2671
395	10067	2643
396	10083	2616
397	10099	2588
398	10115	2560
399	10131	2532
400	10147	2505
401	10163	2477
402	10179	2450
403	10194	2422
404	10212	2395
405	10229	2368
406	10246	2341
407	10263	2314
408	10282	2287
409	10301	2261
410	10318	2234
411	10336	2207
412	10357	2181
413	10378	2155
414	10399	2129
415	10420	2104
416	10442	2078
417	10461	2052
418	10482	2026
419	10501	2000
420	10518	1973
421	10537	1947
422	10552	1920
423	10569	1894
424	10585	1868
425	10601	1841
426	10619	1815
427	10634	1789
428	10651	1762
429	10670	1736
430	10688	1711
431	10708	1685
432	10727	1659
433	10746	1634
434	10766	1608
435	10782	1582
436	10798	1556
437	10814	1530
438	10830	1504
439	10848	1479
440	10862	1453
441	10878	1427
442	10896	1402
443	10913	1376
444	10931	1351
445	10948	1325
446	10965	1300
447	10983	1274
448	11000	1249
449	11017	1224
450	11034	1198
451	11050	1173
452	11066	1148
453	11082	1122
454	11103	1098
455	11119	1072
456	11137	1047
457	11154	1022
458	11170	997
459	11189	973
460	11208	948
461	11224	923
462	11240	898
463	11259	873
464	11273	848
465	11290	823
466	11312	799
467	11329	774
468	11350	750
469	11367	725
470	11383	700
471	11399	676
472	11415	651
473	11430	627
474	11446	602
475	11463	577
476	11479	553
477	11494	529
478	11510	504
479	11526	480
480	11541	455
481	11559	431
482	11575	407
483	11592	383
484	11611	359
485	11629	335
486	11646	310
487	11662	286
488	11679	262
489	11693	238
490	11710	214
491	11727	190
492	11745	166
493	11761	142
494	11777	118
495	11792	95
496	11808	71
497	11824	47
498	11839	23
499	11857	0
	34758	2376
468	34809	2300
469	34898	2227
470	34964	2152
471	35033	2078
472	35082	2002
473	35127	1926
474	35192	1852
475	35240	1776
476	35285	1701
477	35332	1626
478	35380	1551
479	35436	1476
480	35506	1402
481	35593	1329
482	35672	1255
483	35742	1181
484	35797	1107
485	35880	1033
486	35939	959
487	36015	885
488	36087	811
489	36145	737
490	36197	663
491	36258	589
492	36320	515
493	36408	442
494	36499	368
495	36556	294
496	36608	220
497	36664	147
498	36703	73
499	36735	0
